服飾名稱,肩寬,衣長,衣服照片
全新萬寶龍polo衫,54,68,
Roca Wear 美國嘻哈襯衫,56,80,
全新 美版GUESS,58,74,
GUCCI格子襯衫,53,79,
TOMMY HILFIGER風衣,52,69,
TOMMY polo衫,45,68,
早期VANS半拉風衣,64,68,
Timberland 風衣,59,75,
Nautica襯衫,60,81,
Aviator外套,57,83,
RRL早期襯衫,53,78,
TOMMY HIFIGER外套,51,74,
義大利精品 dunhill外套,53,70,
老品華美燈芯絨大衣,51,91,
早期萬寶龍搖粒外套,68,69,
MONO法拉利外套,58,70,
TOMMY藍色風衣,50,74,
BURBERRY全新棉質大衣,50,65,
北臉少數色風衣外套,49,73,
NIKE ACG,50,67,
G-STAT雙拉厚磅棉質衝鋒衣,60,71,
Levis 防風夾克外套,53,70,
少見企鵝棉質外套,62,71,
BURBERRY 雙面穿棉質夾克,51,68,
老品70年代公牛棒球外套,58,67,
Levis早期襯衫,49,74,
雷霆隊半拉風衣,54,74,
Nautica棉質外套,48,67,
BEAMS襯衫,44,60,
Polo短版,36,35,
老貨洋基隊棒球外套,57,70,
密爾瓦基釀酒人棒球衣,64,82,
火腿鬥士和服浴衣,64,80,
早期20年前NET燈芯絨外套,61,70,
超級老品 NIKE AIR田島運輸,59,65,
日規版Vans老貨,42,50,
PEPE格子襯衫,50,79,
少見棒球外套,72,68,
早期 WRANGLER半拉薄風衣,52,74,
ADIDAS 半拉薄風衣,61,69,
NIKE薄風衣,62,65,
NIKE教練外套,55,73,
法拉利刺繡棉質外套,63,71,
DAKS倫敦精品夾克,60,69,
Adidas薄運動外套,64,71,
Wrangler拼接格子襯衫,54,75,
Carhartt 格子襯衫,55,85,
PEPE格子襯衫,50,79,
哥倫比亞狩獵襯衫,56,83,
全新哥倫比亞襯衫,55,83,
全新義大利品牌,58,84,
湖人隊練習衣,55,80,
Carhartt 全新格子襯衫,52,84,
Nautica襯衫,49,76,
哥倫比亞薄襯衫,53,80,
BURBERRY 早期襯衫,57,74,
義大利精品BALLY襯衫,48,81,
湖人隊STARTER,52,73,
全新ROCA WEAR刺繡版襯衫,59,82,
萬寶龍厚磅棉質夾克,53,76,
Timberland 格子襯衫,55,81,
老品 唐老鴨刺繡版襯衫,57,84,
Polo RL,50,81,
全新戶外釣魚品牌襯衫,67,89,
早期刺繡唐老鴨襯衫,56,82,
Nautica襯衫,51,78,
老品BIG TOM美式棒球外套,58,63,
早期NET棉質襯衫,53,73,
直條紋襯衫,47,72,
T-MAC 早期運動外套,61,82,
美牌老品,54,70,
萬寶龍牛仔外套,61,73,
老品 紐約洋基棒球外套粉,52,58,
Polo RL夾克,58,69,
哥倫比亞薄襯衫(白),59,83,
哥倫比亞薄襯衫(藍),57,83,
哥倫比亞薄襯衫(卡),51,81,
古巴襯衫,53,80,
北臉GORE-TEX,57,66,
早期美式牛仔外套,61,74,
Levi’s 棉質襯衫,48,65,
Polo RL 薄棉質夾克,60,68,
少見ARMANI皮領毛料夾克,49,71,
厚磅Carhartt夾克,47,61,
早期老貨Reebok薄運動外套,60,66,
全新 美版GUESS,58,74,
2PAC,59,71,
美國嘻哈小韋恩,59,79,
Nike 薄風衣,67,67,
Nautica雙面穿 棉質外套,48,67,
Starter超級老貨NBA黃蜂隊外套,54,54,
BURBERRY夾克,69,72,
Timberland全新襯衫,55,73,
G-star 全新襯衫,55,81,
哥倫比亞全新輕薄型襯衫,59,83,
哥倫比亞衝鋒外套,53,75,
